house,origin,group,founder,founded,community,wwi_fate,confidence,source
J. Henry Schröder & Co,German (Hamburg),Émigré: German & Central European,Johann Heinrich Schröder,1818.0,German / Hanseatic Protestant,Senior partner Baron Bruno Schröder naturalised within days of war (Aug 1914); firm survived as Schroders,high,"encyclopedia.com (Schroders plc); Roberts, Schroders"
Frederick Huth & Co,German (Stade/Hanover),Émigré: German & Central European,Johann Friedrich (Frederick) Huth,1809.0,German merchant diaspora,Survived WWI but long declined; wound up 1936,high,"Chapman, Rise of Merchant Banking"
"Kleinwort, Sons & Co",German (Holstein),Émigré: German & Central European,Alexander Friedrich Kleinwort,1855.0,German (Schleswig-Holstein),"Partners naturalised; survived, later Kleinwort Benson",high,"Cassis; Wake, Kleinwort Benson"
C. J. Hambro & Son,Danish (Copenhagen),Émigré: German & Central European,Carl Joachim Hambro,1839.0,Danish (neutral in WWI) / Sephardi descent,Denmark neutral — escaped enemy-alien treatment; survived as Hambros Bank,high,"Bramsen & Wain, The Hambros"
N. M. Rothschild & Sons,German-Jewish (Frankfurt),Émigré: German & Central European,Nathan Mayer Rothschild,1811.0,German-Jewish (Frankfurt Judengasse),Long-naturalised British branch; unaffected as enemy alien,high,"Ferguson, The World's Banker"
Bischoffsheim & Goldschmidt,German-Jewish (Mainz/Amsterdam),Émigré: German & Central European,Louis-Raphaël Bischoffsheim,1846.0,German/Dutch-Jewish; later merged into Banque de Paris,Largely absorbed/wound down before WWI,medium,Cassis
Frühling & Goschen,German (Leipzig),Émigré: German & Central European,Heinrich Frühling & W. H. Göschen,1814.0,German Saxon merchant,German-named firm wound down amid anti-German pressure; merged into Goschen & Cunliffe 1920,high,Wikipedia (Harry Goschen); Kynaston
Stern Brothers,German-Jewish (Frankfurt),Émigré: German & Central European,Stern family,1833.0,German-Jewish (Frankfurt),Survived,medium,Cassis
S. Oppenheim & Sons,German-Jewish (Cologne),Émigré: German & Central European,Salomon Oppenheim,1789.0,German-Jewish (Rhineland),Cologne house; London ties strained by war,medium,Cassis
William Brandt's Sons & Co,German (Hamburg/Archangel),Émigré: German & Central European,Edmund Heinrich Brandt,1805.0,German-Russian (Archangel trade),Russia-trade house; strained by war and 1917; survived diminished,medium,Chapman
